Block_ID,Morale_Value
B1200,8.907138111373305
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.301448242235276
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.57631257023439
B1200,9.022541976565657
B1200,9.983191339435267
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.600640048760901
B1200,7.39090466873154
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.39237025292054
B1200,10.0
B1200,9.139765943833389
B1200,8.45544348289558
B1200,9.30451181726895
B1200,9.267817246271315
B1200,7.748866546193802
B1200,9.339821559853542
B1200,6.5066665981485885
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.777646532800835
B1200,8.963299333877547
B1200,9.769683574372468
B1200,10.0
B1200,9.319266195422646
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.952106209669209
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.022192381536147
B1200,10.0
B1200,9.558571084823349
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.954890605108908
B1200,8.691361926842657
B1200,10.0
B1200,9.162685511060339
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.100209296024993
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.891232939280425
B1200,10.0
B1200,10.0
B1200,9.798409107073116
B1200,10.0
B1200,10.0
B1200,7.912652080131996
B1200,8.899116734601943
B1200,9.715164899512029
B1200,9.080695687416725
B1200,9.846283477902087
B1200,10.0
B1200,9.586173238300008
B1200,10.0
B1200,10.0
B1200,9.082304992332384
B1200,10.0
B1200,7.570990034364919
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.84559846888276
B1200,9.323824854393445
B1200,10.0
B1200,9.88689196611847
B1200,9.580890261520182
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.467886318374296
B1200,10.0
B1200,10.0
B1200,9.908234708544212
B1200,9.081755643607481
B1200,8.767963015649523
B1200,9.884350517761307
B1200,9.942174432053301
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.831450968379368
B1200,8.77006571983571
B1200,10.0
B1200,8.309254551634572
B1200,9.477933189235717
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.807133271296134
B1200,10.0
B1200,10.0
B1200,9.04375330900361
B1200,9.314713145849103
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.285904654971409
B1200,9.748951408904965
B1200,9.511298216224864
B1200,9.654673153137031
B1200,9.882018208173335
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.60264472525068
B1200,7.816086074835698
B1200,10.0
B1200,8.933236971185623
B1200,9.993630725828462
B1200,10.0
B1200,10.0
B1200,9.367156385324392
B1200,9.788157129235188
B1200,10.0
B1200,9.743828767104803
B1200,10.0
B1200,8.87892097229742
B1200,7.509607462111613
B1200,10.0
B1200,9.976817265224712
B1200,9.063679297750708
B1200,8.412034477575926
B1200,9.390282936777915
B1200,9.126152209824538
B1200,9.984799785001908
B1200,10.0
B1200,9.93951332850913
B1200,8.963334044402272
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.744588752589177
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.811491199301615
B1200,10.0
B1200,9.469830603561796
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.208983415916478
B1200,8.770324056578833
B1200,8.700268222177302
B1200,9.723346027853506
B1200,10.0
B1200,9.521371675201996
B1200,10.0
B1200,8.631273146588121
B1200,9.514916276683868
B1200,9.56491502102465
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.97691402080239
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.582802966651759
B1200,8.801461174940801
B1200,10.0
B1200,10.0
B1200,9.72755632832556
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.49738640763963
B1200,10.0
B1200,10.0
B1200,9.529114344558682
B1200,10.0
B1200,10.0
B1200,9.470670610408835
B1200,10.0
B1200,9.925423106855689
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.979015567799058
B1200,10.0
B1200,9.362665479325086
B1200,10.0
B1200,9.752380456866101
B1200,9.60299978224902
B1200,10.0
B1200,8.86502788132426
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,6.189865584939642
B1200,10.0
B1200,8.61062990102904
B1200,10.0
B1200,10.0
B1200,9.91915453939862
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.217046398231428
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.840201843852237
B1200,10.0
B1200,9.825272241466546
B1200,9.73286826852449
B1200,10.0
B1200,9.504769667096438
B1200,10.0
B1200,9.538436409973599
B1200,10.0
B1200,9.641685852140059
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.382861527887162
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.938468327093616
B1200,8.519454074084985
B1200,10.0
B1200,6.874619303954818
B1200,10.0
B1200,8.49410973616554
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.979302726552993
B1200,9.955058072791122
B1200,9.602984048036122
B1200,10.0
B1200,9.23608231211286
B1200,9.719849477859603
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.061583150995311
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.413466809030558
B1200,8.627311440159877
B1200,10.0
B1200,9.673922407197137
B1200,10.0
B1200,8.838902244796001
B1200,9.779932503496434
B1200,8.636588116503464
B1200,10.0
B1200,9.882652384352312
B1200,10.0
B1200,9.031287859314123
B1200,9.924538734517467
B1200,10.0
B1200,9.021230306393123
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.876417062046535
B1200,6.716900604123753
B1200,10.0
B1200,9.535756572534911
B1200,10.0
B1200,9.07685993978374
B1200,10.0
B1200,8.814812309999315
B1200,9.713543769303765
B1200,10.0
B1200,9.492244849376286
B1200,9.292703968169732
B1200,10.0
B1200,10.0
B1200,7.707872241241091
B1200,9.330357296371824
B1200,8.496730355469193
B1200,9.333926655781708
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.37046579725504
B1200,10.0
B1200,9.641267363238164
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.974806791482617
B1200,8.695983746324412
B1200,9.538930415547496
B1200,10.0
B1200,9.688156785550097
B1200,10.0
B1200,10.0
B1200,8.657239604858477
B1200,9.973842426682378
B1200,9.616788295166154
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.342061378580896
B1200,10.0
B1200,7.952632526154549
B1200,9.46013390452473
B1200,10.0
B1200,10.0
B1200,8.259358042142427
B1200,10.0
B1200,9.506430246499988
B1200,10.0
B1200,8.68555002884551
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.930337962454137
B1200,10.0
B1200,9.538070975052802
B1200,10.0
B1200,10.0
B1200,9.698024496424734
B1200,10.0
B1200,9.863680407491882
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.086989037187623
B1200,9.426148299888172
B1200,10.0
B1200,9.476301922965389
B1200,9.481736305755648
B1200,9.589195270606975
B1200,10.0
B1200,9.621584392726112
B1200,9.959592663734114
B1200,10.0
B1200,10.0
B1200,9.559672509915918
B1200,8.441047051890646
B1200,8.236331788708457
B1200,9.462415263546681
B1200,10.0
B1200,9.912758854898094
B1200,10.0
B1200,10.0
B1200,9.845317385901476
B1200,9.595699868302647
B1200,9.246977823325912
B1200,9.913563480781399
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.347179836170735
B1200,8.967872278773912
B1200,8.758646067399193
B1200,10.0
B1200,7.730428007047654
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.683486264825932
B1200,9.540743598154698
B1200,10.0
B1200,9.425360490380514
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.168289898799147
B1200,9.489702494572583
B1200,10.0
B1200,10.0
B1200,8.403668375117192
B1200,10.0
B1200,7.928379512756517
B1200,10.0
B1200,9.579024502354722
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.279064506103946
B1200,8.49951721938338
B1200,10.0
B1200,9.711277129021196
B1200,9.674436622312511
B1200,9.772382707563295
B1200,10.0
B1200,10.0
B1200,9.810775189486387
B1200,9.9632998268507
B1200,9.114933503677639
B1200,10.0
B1200,9.227137383669477
B1200,10.0
B1200,8.84920320695119
B1200,9.94039973041671
B1200,10.0
B1200,10.0
B1200,8.768859207757822
B1200,8.335430646705372
B1200,10.0
B1200,10.0
B1200,9.835619309504606
B1200,8.341037942749473
B1200,7.996879733549737
B1200,10.0
B1200,10.0
B1200,8.25355135517027
B1200,8.447266371954544
B1200,10.0
B1200,10.0
B1200,6.688310796656367
B1200,8.456271713060746
B1200,9.884866609093464
B1200,10.0
B1200,8.966733290274862
B1200,9.684652647555964
B1200,10.0
B1200,10.0
B1200,8.27602850937455
B1200,10.0
B1200,9.997377514535478
B1200,10.0
B1200,8.540028676727044
B1200,10.0
B1200,8.578944263891957
B1200,9.72487964599282
B1200,8.65023620039549
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.996591861209609
B1200,10.0
B1200,9.929964722512642
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.112068444095621
B1200,10.0
B1200,10.0
B1200,9.101873261926759
B1200,10.0
B1200,9.859660057021705
B1200,8.38929018447804
B1200,9.76843874703514
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.309415832887716
B1200,10.0
B1200,10.0
B1200,9.40822102377567
B1200,9.459781248026982
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.551158808233607
B1200,10.0
B1200,10.0
B1200,8.318893438157156
B1200,9.828520417619417
B1200,10.0
B1200,9.020461055171618
B1200,10.0
B1200,9.946644180401496
B1200,9.27793261968909
B1200,9.212461182594202
B1200,9.927125079291502
B1200,9.898409150806604
B1200,10.0
B1200,8.716618013162815
B1200,8.873978201449022
B1200,9.818384563737993
B1200,10.0
B1200,8.647403875937883
B1200,9.527748498840236
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.638843683393173
B1200,9.248525030702632
B1200,10.0
B1200,9.8991322675037
B1200,9.634144616622079
B1200,10.0
B1200,9.547442525512313
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.718102624872188
B1200,8.782072169744993
B1200,9.323817990520876
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.185173235580427
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.776211794333255
B1200,10.0
B1200,10.0
B1200,9.558372443895852
B1200,8.99560360468276
B1200,9.030820957409013
B1200,9.688081949578358
B1200,9.53241022611952
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.216706214629959
B1200,10.0
B1200,9.895599801332528
B1200,9.778746636437234
B1200,9.410749711442008
B1200,8.71520106611263
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.30153313658288
B1200,9.59877155926342
B1200,10.0
B1200,10.0
B1200,9.15696614402195
B1200,10.0
B1200,8.488425119424221
B1200,10.0
B1200,9.310129897966792
B1200,10.0
B1200,8.564362129913475
B1200,9.455888005619098
B1200,9.539142120759408
B1200,10.0
B1200,9.2058801997536
B1200,10.0
B1200,9.989242181850114
B1200,10.0
B1200,10.0
B1200,8.507051294912968
B1200,10.0
B1200,9.746640612302993
B1200,9.444144507721568
B1200,10.0
B1200,10.0
B1200,10.0
B1200,8.462201945562231
B1200,9.875316637946419
B1200,10.0
B1200,9.707356445579743
B1200,10.0
B1200,8.453616883636048
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.808041588753229
B1200,10.0
B1200,10.0
B1200,8.625910579086801
B1200,9.677573772512558
B1200,9.138438082421679
B1200,10.0
B1200,10.0
B1200,7.802251304465607
B1200,7.907190640625036
B1200,9.945290876669684
B1200,10.0
B1200,10.0
B1200,10.0
B1200,9.802749572031148
B1200,10.0
B1200,9.86041231399964
B1200,10.0
B1200,10.0
B1200,9.569513131078166
B1200,10.0
B1200,10.0
B1200,9.078967686480498
B1200,10.0
B1200,8.344948718741337
B1200,10.0
B1200,10.0
B1200,9.588948730864782
B1200,10.0
B1200,9.101239724956597
B1200,10.0
