Block_ID,Morale_Value
B1200,8.232834819228799
B1200,8.517616568334196
B1200,7.440130918586499
B1200,7.830632367770362
B1200,8.769052418384648
B1200,6.056317372786101
B1200,8.551792328066112
B1200,10.0
B1200,6.461985253066926
B1200,6.543141292631159
B1200,9.412130281166883
B1200,7.0328770230117
B1200,7.332363003318933
B1200,7.643780630511442
B1200,9.818090190332622
B1200,7.620725030448854
B1200,8.232667807044697
B1200,7.990549933712502
B1200,8.041573033281136
B1200,8.23577637383412
B1200,7.239592929503443
B1200,8.8095591247317
B1200,7.0469824401713845
B1200,6.714742547266588
B1200,8.001039971690732
B1200,7.121058818267081
B1200,5.806801314132011
B1200,6.575167681286223
B1200,5.265048040396963
B1200,6.260775137863463
B1200,7.34841699002204
B1200,5.26702723231133
B1200,6.762409462526261
B1200,8.00964349352262
B1200,6.75413490727481
B1200,6.780177687797126
B1200,6.483560435005518
B1200,6.884108076942245
B1200,5.821365099670362
B1200,8.198400360285978
B1200,7.858201517284145
B1200,6.8425242189321605
B1200,8.914248542680179
B1200,8.349883452310058
B1200,8.017220950034242
B1200,7.095012193139767
B1200,5.888303921756682
B1200,6.392458250780303
B1200,5.908876116987871
B1200,6.612039149014314
B1200,5.964747195526045
B1200,7.912912429655033
B1200,7.5227742196124385
B1200,8.74300208578046
B1200,7.064735098846771
B1200,7.6816585198043015
B1200,7.212141660731406
B1200,7.213309576969218
B1200,6.032881446303662
B1200,6.5638307211957905
B1200,7.224744895432253
B1200,8.45419812831102
B1200,8.19669648760889
B1200,7.482110442513512
B1200,7.763141392900318
B1200,9.238890762042393
B1200,6.604947869895336
B1200,6.229137108635163
B1200,7.888701919740231
B1200,7.973367314713197
B1200,7.322780763974255
B1200,7.293359065934547
B1200,6.733807380037373
B1200,5.587091647476482
B1200,7.847157593692598
B1200,6.759399049354553
B1200,7.913260586020245
B1200,8.237192820948422
B1200,7.350746532395113
B1200,8.275125319335467
B1200,7.977636942334678
B1200,7.139675162457644
B1200,7.262259471295489
B1200,6.3327245085627215
B1200,6.997570667163271
B1200,8.34752567041594
B1200,7.819370265526552
B1200,6.605397441181768
B1200,7.847247591164384
B1200,7.885502475271518
B1200,7.0192043782052185
B1200,6.938589186295261
B1200,7.005352739270202
B1200,7.956458929736837
B1200,7.248555372925844
B1200,7.622706275393372
B1200,9.333392067830461
B1200,7.471620357820531
B1200,8.581674585318007
B1200,7.608443304757733
B1200,6.660032356099947
B1200,9.086181431235595
B1200,7.4570356574367205
B1200,7.196036654816006
B1200,7.372764603640737
B1200,8.14985227290161
B1200,6.886799387350383
B1200,7.178671667992639
B1200,7.383576050795761
B1200,7.150438147516892
B1200,7.992308621820189
B1200,7.594709641412874
B1200,9.828860551515152
B1200,6.551284814853696
B1200,7.420165926300732
B1200,6.841788300570921
B1200,6.020209925786094
B1200,8.62585704176236
B1200,7.349475585104898
B1200,6.0341853674987735
B1200,5.932717205632328
B1200,7.248855421162597
B1200,7.985201455704227
B1200,8.318913728696996
B1200,8.398457542745216
B1200,7.0609636770160416
B1200,5.414846091107179
B1200,8.291401293698542
B1200,7.30719879011381
B1200,7.0981432054395635
B1200,7.948839116170033
B1200,8.371698353672723
B1200,7.329166849614696
B1200,8.717285020043905
B1200,7.162719613321688
B1200,6.473570429568925
B1200,8.443414311511416
B1200,8.157133375610176
B1200,8.259984538731029
B1200,6.659185928690913
B1200,8.633754271272718
B1200,6.423534966697964
B1200,6.856614273007519
B1200,7.600680115058906
B1200,7.899045987621043
B1200,9.583189489212566
B1200,6.245262055282243
B1200,7.624397677222935
B1200,7.193900381453318
B1200,6.719658372871158
B1200,6.9068956823123
B1200,5.903639678407947
B1200,8.33950627787829
B1200,8.942256314162625
B1200,7.7163666107726705
B1200,7.056379514681056
B1200,7.414809941577036
B1200,7.895469587349155
B1200,8.815593591181766
B1200,9.404151108315402
B1200,7.766881778483701
B1200,6.4657703755520926
B1200,8.99274858130711
B1200,8.305916356155128
B1200,6.523508559622436
B1200,5.359677890215206
B1200,8.790122872518134
B1200,7.7509840572358515
B1200,7.663090124675485
B1200,7.741794478929984
B1200,7.549413660294722
B1200,7.693846483280064
B1200,7.068592941542337
B1200,8.507383844734631
B1200,8.172053081439739
B1200,6.389042870257575
B1200,7.489790514128784
B1200,6.7843123343156355
B1200,9.406345723416372
B1200,8.737241648395521
B1200,7.859659886242889
B1200,6.492681275379038
B1200,8.117153880673927
B1200,5.861695989425574
B1200,7.279426134781896
B1200,6.713564114329994
B1200,7.296858080773374
B1200,7.554752798623447
B1200,7.466737331284456
B1200,6.783482901419233
B1200,6.736607299824541
B1200,7.680971574374345
B1200,9.496658994923445
B1200,7.6909955508347485
B1200,8.63997829222737
B1200,8.300856991047931
B1200,8.345974698316436
B1200,5.855549318379791
B1200,8.471770443422049
B1200,8.309041089340283
B1200,9.780323636411152
B1200,7.571034692654834
B1200,7.635062087395815
B1200,6.671986156147871
B1200,8.534976562948751
B1200,7.5113656756656635
B1200,7.414250128385613
B1200,8.125636685996284
B1200,7.4350915208158375
B1200,5.074784292845796
B1200,6.914999204425662
B1200,7.6478988039745035
B1200,7.600834253249506
B1200,8.164201340700012
B1200,8.279123919184723
B1200,8.57719733857854
B1200,7.7614228610310345
B1200,7.956159518369945
B1200,8.215638129319764
B1200,7.987885077378629
B1200,7.589856948321145
B1200,7.927446736561375
B1200,7.2874470644091245
B1200,8.441669784799872
B1200,8.104014987487261
B1200,6.8869348471340075
B1200,7.985433457889347
B1200,8.85148006027671
B1200,6.741499858022731
B1200,8.98591938068664
B1200,7.949084816075087
B1200,7.0785695689782395
B1200,6.147928834246908
B1200,6.262775492940943
B1200,7.620299542656041
B1200,7.661100025128285
B1200,7.356210671457843
B1200,7.702845333653594
B1200,8.007711042621384
B1200,6.466735600449959
B1200,6.583906877223794
B1200,8.21006100300808
B1200,8.445659680336336
B1200,8.208978981709885
B1200,7.186886477368582
B1200,7.74683701720646
B1200,5.611749022989932
B1200,8.101171198450434
B1200,7.433184016493353
B1200,6.969894314180215
B1200,8.548342033079122
B1200,7.138201202933165
B1200,6.500392413511909
B1200,7.650116549506129
B1200,7.86227199531595
B1200,7.831454248347348
B1200,8.950650259724423
B1200,9.704393485977395
B1200,7.078740490080853
B1200,7.491215551867367
B1200,7.268619642511543
B1200,9.924146607332245
B1200,6.963798821407826
B1200,8.23691674777228
B1200,7.3231859165812825
B1200,9.019268212246505
B1200,7.203426461706727
B1200,8.273742704891896
B1200,6.43535530958319
B1200,7.339197528626744
B1200,9.321855668636166
B1200,8.834663588228866
B1200,8.759350308775938
B1200,7.108701673754409
B1200,7.564621221650404
B1200,7.554441841629215
B1200,7.1825267270131725
B1200,7.000279281739046
B1200,8.029782098926761
B1200,6.803064770440549
B1200,7.359341516376151
B1200,7.85820734796669
B1200,6.702654279502633
B1200,8.866282804289407
B1200,6.985916577669477
B1200,9.207419679465774
B1200,8.080767454898163
B1200,9.431544641990891
B1200,8.696463623139044
B1200,6.719749469277756
B1200,7.677213808509474
B1200,6.865480669582081
B1200,8.702194870003684
B1200,7.5938327200521645
B1200,8.202098638047643
B1200,7.123082255590704
